category,Clothing,price,original_price,rating,rating_count,scraped_date,size,color,material,discount_percentage,availability,is_bestseller,return_policy,delivery_time,trending,customer_reviews
Men Shirts,Shirt,1073,1132,3.6,1867,2025-08-02,XL,Beige,Cotton Blend,5.21,Back in Stock,FALSE,30 days,2 days,FALSE,446
Men Shirts,Shirt,716,1015,4.2,3624,2025-08-02,S,Brown,Denim,29.46,Limited Stock,TRUE,30 days,2 days,FALSE,413
Men Shirts,Shirt,1031,1089,4.8,2855,2025-08-02,M,Blue,Polyester,5.33,Only 1 Left,FALSE,30 days,7 days,FALSE,440
Men Shirts,Shirt,988,1147,4.4,1133,2025-08-02,M,White,Denim,13.86,Few Left,FALSE,30 days,4 days,FALSE,374
Men Shirts,Shirt,708,784,4.3,543,2025-08-02,XS,Blue,Denim,9.69,Only 1 Left,FALSE,30 days,2 days,FALSE,352
Men Shirts,Shirt,762,959,3.8,831,2025-08-02,XXL,Red,Cotton,20.54,Back in Stock,FALSE,30 days,4 days,FALSE,110
Men Shirts,Shirt,995,1066,4.2,2012,2025-08-02,3XL,Purple,Cotton Blend,6.66,Only 1 Left,TRUE,30 days,2 days,FALSE,233
Men Shirts,Shirt,813,1094,3.7,2892,2025-08-02,S,Blue,Denim,25.69,Few Left,FALSE,30 days,2 days,FALSE,419
Men Shirts,Shirt,1409,1486,4.4,2704,2025-08-02,XS,Grey,Silk,5.18,Only 1 Left,FALSE,30 days,2 days,FALSE,275
Men Shirts,Shirt,880,959,4.1,2330,2025-08-02,XXL,Pink,Polyester,8.24,Limited Stock,FALSE,30 days,4 days,FALSE,121
Men Shirts,Shirt,1001,1020,3.8,646,2025-08-02,S,Maroon,Silk,1.86,Back in Stock,FALSE,30 days,7 days,FALSE,228
Men Shirts,Shirt,732,1376,3.9,2462,2025-08-02,XL,Beige,Silk,46.8,Only 1 Left,FALSE,30 days,3 days,FALSE,459
Men Shirts,Shirt,1122,1242,4.6,877,2025-08-02,3XL,Black,Denim,9.66,Limited Stock,TRUE,30 days,7 days,FALSE,422
Men Shirts,Shirt,1346,2878,4.2,118,2025-08-02,3XL,Brown,Cotton Blend,53.23,Only 1 Left,FALSE,30 days,4 days,FALSE,327
Men Shirts,Shirt,736,904,4.5,1313,2025-08-02,XS,Maroon,Denim,18.58,In Stock,FALSE,30 days,7 days,FALSE,497
Men Shirts,Shirt,1250,1463,3.7,501,2025-08-02,L,Olive,Linen,14.56,Only 1 Left,TRUE,30 days,5 days,FALSE,461
Women Dresses,Dress,1728,2505,3.9,2246,2025-08-02,XL,Navy,Cotton Blend,31.02,Limited Stock,FALSE,30 days,5 days,TRUE,65
Women Dresses,Dress,1759,2009,4.5,1518,2025-08-02,S,White,Linen,12.44,Limited Stock,FALSE,30 days,6 days,FALSE,487
Women Dresses,Dress,1177,1433,3.5,2183,2025-08-02,XL,Beige,Cotton Blend,17.86,Limited Stock,FALSE,30 days,4 days,TRUE,466
Women Dresses,Dress,1418,1614,3.9,2125,2025-08-02,3XL,Grey,Denim,12.14,Back in Stock,FALSE,30 days,6 days,FALSE,295
Women Dresses,Dress,1122,1425,4.7,3185,2025-08-02,XS,Purple,Denim,21.26,Back in Stock,FALSE,30 days,6 days,FALSE,163
Women Dresses,Dress,1566,1735,3.8,1522,2025-08-02,XL,Green,Cotton,9.74,Few Left,FALSE,30 days,4 days,FALSE,160
Women Dresses,Dress,1429,1592,4.1,375,2025-08-02,L,Green,Linen,10.24,Limited Stock,FALSE,30 days,5 days,FALSE,340
Women Dresses,Dress,1430,1557,4.4,1898,2025-08-02,XL,Maroon,Silk,8.16,Few Left,FALSE,30 days,3 days,FALSE,393
Women Dresses,Dress,1480,1684,4.4,1993,2025-08-02,S,Beige,Polyester,12.11,Only 1 Left,FALSE,30 days,3 days,FALSE,480
Women Dresses,Dress,1419,1710,4.1,1735,2025-08-02,XS,Olive,Linen,17.02,Limited Stock,FALSE,30 days,3 days,FALSE,268
Women Dresses,Dress,1568,1626,4.4,2901,2025-08-02,3XL,Pink,Cotton,3.57,Few Left,FALSE,30 days,2 days,FALSE,121
Women Dresses,Dress,1519,1769,4.3,2030,2025-08-02,M,White,Silk,14.13,Back in Stock,FALSE,30 days,3 days,TRUE,430
Women Dresses,Dress,1751,1897,4.3,1876,2025-08-02,S,Olive,Silk,7.7,Few Left,FALSE,30 days,6 days,FALSE,58
Women Dresses,Dress,869,1117,3.8,3403,2025-08-02,XXL,Pink,Silk,22.2,Limited Stock,FALSE,30 days,5 days,TRUE,53
Women Dresses,Dress,1388,3051,3.7,966,2025-08-02,XXL,Black,Cotton Blend,54.51,Only 1 Left,FALSE,30 days,4 days,FALSE,463
Women Dresses,Dress,1124,1700,3.7,3937,2025-08-02,M,Maroon,Cotton Blend,33.88,Limited Stock,FALSE,30 days,4 days,FALSE,240
Women Tops,Shirt,598,1323,3.8,3866,2025-08-02,XXL,Orange,Denim,54.8,Back in Stock,TRUE,30 days,7 days,FALSE,349
Women Tops,Tank Top,758,868,4.8,1780,2025-08-02,XL,Orange,Cotton Blend,12.67,Back in Stock,FALSE,30 days,7 days,FALSE,239
Women Tops,Tunic,797,1922,4,1872,2025-08-02,XL,Purple,Polyester,58.53,Limited Stock,FALSE,30 days,5 days,FALSE,171
Women Tops,Blouse,1010,1025,4.4,470,2025-08-02,L,Maroon,Cotton Blend,1.46,Back in Stock,FALSE,30 days,3 days,FALSE,353
Women Tops,Casual Top,860,1112,4.6,1103,2025-08-02,XS,Navy,Silk,22.66,Limited Stock,FALSE,30 days,7 days,FALSE,303
Women Tops,Blouse,506,936,4.5,2908,2025-08-02,XS,Green,Cotton Blend,45.94,Back in Stock,FALSE,30 days,7 days,FALSE,188
Women Tops,Top,736,980,4.1,2670,2025-08-02,M,Grey,Denim,24.9,In Stock,FALSE,30 days,4 days,TRUE,439
Women Tops,T-Shirt,968,1608,4.1,562,2025-08-02,S,Navy,Cotton,39.8,Few Left,FALSE,30 days,4 days,FALSE,387
Women Tops,Blouse,750,994,4,4410,2025-08-02,XL,Pink,Denim,24.55,Limited Stock,FALSE,30 days,2 days,FALSE,295
Women Tops,Shirt,733,1061,4.3,169,2025-08-02,L,Pink,Polyester,30.91,In Stock,TRUE,30 days,6 days,FALSE,139
Women Tops,Tank Top,795,999,4.3,4342,2025-08-02,XL,Beige,Silk,20.42,Back in Stock,FALSE,30 days,6 days,FALSE,386
Women Tops,T-Shirt,744,856,3.9,4456,2025-08-02,M,Olive,Denim,13.08,In Stock,FALSE,30 days,5 days,FALSE,28
Women Tops,Shirt,520,763,4.1,3678,2025-08-02,XXL,Red,Cotton Blend,31.85,Only 1 Left,FALSE,30 days,2 days,FALSE,128
Women Tops,Shirt,699,824,4.8,578,2025-08-02,XXL,Pink,Denim,15.17,Back in Stock,FALSE,30 days,7 days,FALSE,188
Women Tops,Crop Top,1027,2300,3.5,3173,2025-08-02,XL,Orange,Linen,55.35,Few Left,FALSE,30 days,5 days,FALSE,498
Women Tops,Blouse,654,877,3.9,4113,2025-08-02,3XL,Black,Linen,25.43,Limited Stock,TRUE,30 days,6 days,FALSE,250
Women Jeans,Jeans,1307,1532,4.6,862,2025-08-02,S,Blue,Denim,14.69,In Stock,FALSE,30 days,7 days,FALSE,193
Women Jeans,Jeans,2012,2046,3.6,2257,2025-08-02,L,Green,Silk,1.66,In Stock,FALSE,30 days,4 days,FALSE,169
Women Jeans,Jeans,2022,2206,4,1872,2025-08-02,M,Orange,Linen,8.34,In Stock,FALSE,30 days,2 days,FALSE,251
Women Jeans,Jeans,1980,2090,4.5,230,2025-08-02,M,Red,Polyester,5.26,In Stock,FALSE,30 days,7 days,FALSE,397
Women Jeans,Jeans,1719,1796,4.1,3119,2025-08-02,L,Brown,Denim,4.29,Few Left,FALSE,30 days,3 days,FALSE,276
Women Jeans,Jeans,1430,1524,3.6,873,2025-08-02,M,Beige,Silk,6.17,Few Left,FALSE,30 days,6 days,TRUE,353
Women Jeans,Jeans,1745,1932,4.4,3003,2025-08-02,3XL,Red,Silk,9.68,Limited Stock,FALSE,30 days,5 days,FALSE,204
Women Jeans,Jeans,1351,2166,3.9,4943,2025-08-02,M,Navy,Denim,37.63,In Stock,FALSE,30 days,6 days,TRUE,148
Women Jeans,Jeans,1805,2043,4,2456,2025-08-02,L,Olive,Denim,11.65,Few Left,FALSE,30 days,6 days,FALSE,461
Women Jeans,Jeans,984,1042,4.2,2050,2025-08-02,XXL,Red,Polyester,5.57,Back in Stock,FALSE,30 days,5 days,FALSE,435
Women Jeans,Jeans,1795,2082,3.8,1627,2025-08-02,XL,Black,Denim,13.78,Back in Stock,FALSE,30 days,4 days,FALSE,300
Women Jeans,Jeans,1502,1742,3.6,4531,2025-08-02,XL,Beige,Linen,13.78,Only 1 Left,FALSE,30 days,6 days,FALSE,454
Women Jeans,Jeans,1372,1396,4.1,478,2025-08-02,XXL,Green,Cotton,1.72,In Stock,FALSE,30 days,7 days,FALSE,111
Women Jeans,Jeans,1880,1986,3.8,990,2025-08-02,L,Blue,Polyester,5.34,In Stock,FALSE,30 days,7 days,FALSE,175
Women Jeans,Jeans,2078,2111,4.6,1054,2025-08-02,XXL,Pink,Denim,1.56,Limited Stock,FALSE,30 days,6 days,FALSE,187
Women Jeans,Jeans,1807,1971,3.8,1299,2025-08-02,M,Blue,Denim,8.32,Only 1 Left,FALSE,30 days,4 days,TRUE,443
Men Tshirts,T-Shirt,343,614,4.4,4796,2025-08-02,M,Beige,Viscose,44.14,Few Left,FALSE,10 days,3 days,FALSE,225
Men Tshirts,T-Shirt,618,700,4.1,5342,2025-08-02,S,Red,Viscose,11.71,Limited Stock,FALSE,10 days,2 days,FALSE,487
Men Tshirts,T-Shirt,536,659,4.3,1234,2025-08-02,3XL,White,Cotton Blend,18.66,Few Left,FALSE,10 days,4 days,FALSE,449
Men Tshirts,T-Shirt,428,964,3.7,2117,2025-08-02,XL,Red,Denim,55.6,Only 1 Left,FALSE,10 days,3 days,FALSE,294
Men Tshirts,T-Shirt,429,758,4.4,6253,2025-08-02,S,Beige,Denim,43.4,Limited Stock,TRUE,10 days,1 days,FALSE,457
Men Tshirts,T-Shirt,517,655,3.4,5321,2025-08-02,M,Beige,Cotton,21.07,In Stock,FALSE,10 days,2 days,FALSE,267
Men Tshirts,T-Shirt,469,753,3.5,1049,2025-08-02,XL,Blue,Viscose,37.72,Limited Stock,FALSE,10 days,4 days,FALSE,408
Men Tshirts,T-Shirt,362,1044,4.3,6595,2025-08-02,L,Red,Viscose,65.33,Only 1 Left,FALSE,10 days,5 days,FALSE,41
Men Tshirts,T-Shirt,320,444,3.9,4821,2025-08-02,XXL,Beige,Viscose,27.93,Limited Stock,FALSE,10 days,5 days,FALSE,433
Men Tshirts,T-Shirt,358,740,3.6,308,2025-08-02,XXL,Navy,Denim,51.62,Limited Stock,FALSE,10 days,2 days,FALSE,208
Men Tshirts,T-Shirt,595,716,4.3,1054,2025-08-02,XL,Purple,Denim,16.9,Back in Stock,FALSE,10 days,4 days,FALSE,261
Men Tshirts,T-Shirt,527,905,4.7,3375,2025-08-02,M,Navy,Viscose,41.77,Only 1 Left,FALSE,10 days,1 days,FALSE,86
Men Tshirts,T-Shirt,642,922,3.8,1166,2025-08-02,XXL,Blue,Denim,30.37,In Stock,FALSE,10 days,1 days,FALSE,222
Men Tshirts,T-Shirt,310,321,3.7,6041,2025-08-02,S,Navy,Cotton Blend,3.43,Limited Stock,FALSE,10 days,5 days,FALSE,373
Men Tshirts,T-Shirt,466,645,3.9,892,2025-08-02,XXL,Black,Polyester,27.75,Limited Stock,FALSE,10 days,3 days,FALSE,148
Men Tshirts,T-Shirt,522,567,4.1,7351,2025-08-02,M,Beige,Cotton Blend,7.94,Back in Stock,FALSE,10 days,4 days,FALSE,155
Men Jeans,Jeans,844,1158,4.4,823,2025-08-02,XL,Beige,Cotton,27.12,Limited Stock,FALSE,10 days,3 days,FALSE,424
Men Jeans,Jeans,1154,1502,4.4,866,2025-08-02,XXL,Black,Polyester,23.17,Few Left,FALSE,10 days,1 days,FALSE,429
Men Jeans,Jeans,968,1815,3.7,3242,2025-08-02,XXL,Purple,Polyester,46.67,Only 1 Left,FALSE,10 days,2 days,FALSE,351
Men Jeans,Jeans,1485,1569,3.6,6509,2025-08-02,3XL,Olive,Viscose,5.35,Few Left,FALSE,10 days,5 days,FALSE,55
Men Jeans,Jeans,841,1171,4.7,1283,2025-08-02,S,Navy,Cotton Blend,28.18,Back in Stock,FALSE,10 days,3 days,FALSE,335
Men Jeans,Jeans,1026,1104,3.3,874,2025-08-02,S,Orange,Viscose,7.07,In Stock,TRUE,10 days,1 days,FALSE,221
Men Jeans,Jeans,1388,2249,4,7476,2025-08-02,3XL,Navy,Lycra,38.28,Limited Stock,FALSE,10 days,4 days,FALSE,345
Men Jeans,Jeans,1138,1949,4.7,7659,2025-08-02,XXL,Pink,Viscose,41.61,Few Left,FALSE,10 days,5 days,FALSE,187
Men Jeans,Jeans,1365,1377,4.4,4614,2025-08-02,XXL,Navy,Polyester,0.87,Back in Stock,FALSE,10 days,5 days,FALSE,137
Men Jeans,Jeans,1530,1734,3.7,6962,2025-08-02,S,Pink,Polyester,11.76,Limited Stock,FALSE,10 days,2 days,FALSE,67
Men Jeans,Jeans,1471,1642,4.5,4984,2025-08-02,S,Maroon,Cotton,10.41,Few Left,TRUE,10 days,3 days,FALSE,278
Men Jeans,Jeans,1447,1868,3.6,6646,2025-08-02,3XL,Green,Lycra,22.54,In Stock,FALSE,10 days,1 days,FALSE,156
Men Jeans,Jeans,934,1322,3.8,2289,2025-08-02,L,Red,Cotton,29.35,Limited Stock,FALSE,10 days,1 days,FALSE,228
Men Jeans,Jeans,1465,2467,3.9,3556,2025-08-02,XS,Grey,Polyester,40.62,Few Left,FALSE,10 days,1 days,TRUE,423
Men Jeans,Jeans,1137,1137,4.4,1204,2025-08-02,3XL,White,Denim,0,In Stock,FALSE,10 days,3 days,FALSE,74
Men Jeans,Jeans,689,860,3.8,7909,2025-08-02,3XL,Brown,Cotton Blend,19.88,In Stock,FALSE,10 days,2 days,FALSE,139
Men Shirts,Shirt,1191,1311,4.1,588,2025-08-02,XS,Olive,Cotton Blend,9.15,In Stock,FALSE,10 days,5 days,FALSE,140
Men Shirts,Shirt,689,886,3.8,4627,2025-08-02,3XL,Orange,Cotton,22.23,Few Left,FALSE,10 days,2 days,FALSE,283
Men Shirts,Shirt,656,700,3.2,333,2025-08-02,S,Yellow,Denim,6.29,Limited Stock,TRUE,10 days,3 days,FALSE,431
Men Shirts,Shirt,694,885,3.3,6288,2025-08-02,XL,Pink,Viscose,21.58,Back in Stock,FALSE,10 days,1 days,FALSE,188
Men Shirts,Shirt,860,1447,4.4,2684,2025-08-02,XL,Purple,Lycra,40.57,Limited Stock,FALSE,10 days,1 days,FALSE,379
Men Shirts,Shirt,1222,2000,4.5,3236,2025-08-02,3XL,Maroon,Polyester,38.9,Back in Stock,FALSE,10 days,1 days,TRUE,234
Men Shirts,Shirt,1254,1961,4.6,5883,2025-08-02,M,Olive,Cotton,36.05,Limited Stock,FALSE,10 days,4 days,FALSE,434
Men Shirts,Shirt,1193,1261,3.5,3801,2025-08-02,XXL,Navy,Lycra,5.39,Only 1 Left,FALSE,10 days,3 days,FALSE,370
Men Shirts,Shirt,744,1116,3.2,890,2025-08-02,XL,White,Cotton,33.33,Limited Stock,TRUE,10 days,4 days,FALSE,344
Men Shirts,Shirt,1005,1074,4.3,5042,2025-08-02,S,Black,Denim,6.42,In Stock,FALSE,10 days,2 days,FALSE,330
Men Shirts,Shirt,592,644,3.5,5780,2025-08-02,XL,Brown,Lycra,8.07,In Stock,FALSE,10 days,2 days,FALSE,433
Men Shirts,Shirt,660,942,4.4,6038,2025-08-02,XXL,Grey,Cotton,29.94,In Stock,FALSE,10 days,3 days,FALSE,69
Men Shirts,Shirt,605,1768,4.1,2630,2025-08-02,S,White,Cotton Blend,65.78,In Stock,FALSE,10 days,3 days,FALSE,273
Men Shirts,Shirt,876,1621,3.9,5988,2025-08-02,3XL,Brown,Viscose,45.96,Only 1 Left,FALSE,10 days,2 days,FALSE,357
Men Shirts,Shirt,824,1104,3.3,1123,2025-08-02,XS,Orange,Lycra,25.36,In Stock,FALSE,10 days,5 days,TRUE,397
Men Shirts,Shirt,839,979,4.3,6118,2025-08-02,XS,Pink,Cotton Blend,14.3,Few Left,FALSE,10 days,4 days,FALSE,140
Women Dresses,Dress,1290,1396,4.3,899,2025-08-02,S,Red,Viscose,7.59,Few Left,FALSE,10 days,5 days,FALSE,471
Women Dresses,Dress,964,3084,4.4,695,2025-08-02,XXL,Beige,Cotton Blend,68.74,Only 1 Left,FALSE,10 days,4 days,TRUE,193
Women Dresses,Dress,956,989,4.2,3792,2025-08-02,L,Beige,Cotton,3.34,Only 1 Left,TRUE,10 days,3 days,FALSE,7
Women Dresses,Dress,1162,1672,3.5,4156,2025-08-02,M,Olive,Cotton,30.5,In Stock,FALSE,10 days,3 days,FALSE,15
Women Dresses,Dress,1342,1722,4.3,6084,2025-08-02,L,Olive,Cotton,22.07,Only 1 Left,TRUE,10 days,3 days,FALSE,84
Women Dresses,Dress,762,1031,3.3,3146,2025-08-02,L,Pink,Polyester,26.09,Limited Stock,FALSE,10 days,5 days,FALSE,188
Women Dresses,Dress,601,1435,3.4,4011,2025-08-02,L,Beige,Denim,58.12,Few Left,FALSE,10 days,3 days,FALSE,25
Women Dresses,Dress,1100,1435,3.8,6539,2025-08-02,XXL,Yellow,Lycra,23.34,Few Left,FALSE,10 days,2 days,FALSE,55
Women Dresses,Dress,648,777,3.9,1156,2025-08-02,XS,Maroon,Lycra,16.6,Limited Stock,FALSE,10 days,1 days,FALSE,86
Women Dresses,Dress,982,1374,3.3,7359,2025-08-02,S,Blue,Lycra,28.53,Limited Stock,FALSE,10 days,2 days,FALSE,363
Women Dresses,Dress,1052,1314,4.3,3173,2025-08-02,L,Orange,Cotton Blend,19.94,In Stock,FALSE,10 days,1 days,FALSE,63
Women Dresses,Dress,1206,1206,4.6,7440,2025-08-02,L,Pink,Lycra,0,Back in Stock,TRUE,10 days,5 days,FALSE,181
Women Dresses,Dress,1315,1538,4.5,5683,2025-08-02,M,Brown,Lycra,14.5,Limited Stock,FALSE,10 days,2 days,FALSE,499
Women Dresses,Dress,813,1184,3.6,2018,2025-08-02,XS,Olive,Viscose,31.33,Only 1 Left,FALSE,10 days,2 days,FALSE,444
Women Dresses,Dress,701,1013,3.8,3093,2025-08-02,M,Olive,Denim,30.8,Only 1 Left,TRUE,10 days,3 days,FALSE,485
Women Dresses,Dress,996,1075,3.7,2353,2025-08-02,XL,Green,Viscose,7.35,In Stock,FALSE,10 days,3 days,FALSE,256
Women Tops,Crop Top,416,1039,3.9,2278,2025-08-02,3XL,Olive,Viscose,59.96,Back in Stock,FALSE,10 days,3 days,FALSE,217
Women Tops,Crop Top,826,950,4.1,1915,2025-08-02,3XL,Olive,Cotton Blend,13.05,Back in Stock,FALSE,10 days,5 days,TRUE,356
Women Tops,Shirt,820,829,4.2,6410,2025-08-02,XL,Green,Polyester,1.09,Only 1 Left,FALSE,10 days,2 days,TRUE,236
Women Tops,Shirt,780,978,3.6,5057,2025-08-02,XS,Beige,Lycra,20.25,Back in Stock,FALSE,10 days,3 days,FALSE,35
Women Tops,Tank Top,685,843,4.7,4045,2025-08-02,S,Beige,Lycra,18.74,Limited Stock,FALSE,10 days,1 days,FALSE,105
Women Tops,Shirt,511,1233,3.4,4498,2025-08-02,XL,Blue,Lycra,58.56,Only 1 Left,FALSE,10 days,5 days,FALSE,1
Women Tops,Shirt,709,1670,3.8,6027,2025-08-02,S,Orange,Cotton Blend,57.54,In Stock,TRUE,10 days,2 days,FALSE,463
Women Tops,Tunic,380,641,3.8,3611,2025-08-02,3XL,Orange,Cotton,40.72,Limited Stock,FALSE,10 days,4 days,FALSE,132
Women Tops,Casual Top,483,485,4.3,2204,2025-08-02,XS,Yellow,Lycra,0.41,Limited Stock,FALSE,10 days,5 days,FALSE,279
Women Tops,Blouse,437,514,3.6,6125,2025-08-02,3XL,Purple,Cotton,14.98,Few Left,TRUE,10 days,3 days,FALSE,37
Women Tops,Casual Top,452,615,4.5,5459,2025-08-02,S,White,Polyester,26.5,Limited Stock,FALSE,10 days,4 days,FALSE,296
Women Tops,Casual Top,481,675,3.2,654,2025-08-02,XS,Orange,Cotton Blend,28.74,In Stock,FALSE,10 days,2 days,FALSE,415
Women Tops,Crop Top,394,443,3.7,1799,2025-08-02,XL,Grey,Lycra,11.06,Back in Stock,FALSE,10 days,1 days,FALSE,221
Women Tops,Crop Top,535,927,4.4,6624,2025-08-02,XL,Red,Cotton,42.29,Back in Stock,FALSE,10 days,1 days,FALSE,3
Women Tops,Crop Top,384,574,4.6,2658,2025-08-02,XL,Maroon,Lycra,33.1,Only 1 Left,FALSE,10 days,2 days,FALSE,205
Women Tops,T-Shirt,430,809,3.4,3535,2025-08-02,XS,Beige,Cotton,46.85,Few Left,FALSE,10 days,1 days,TRUE,330
Women Jeans,Jeans,801,1305,3.6,6893,2025-08-02,M,Black,Cotton Blend,38.62,In Stock,FALSE,10 days,2 days,FALSE,109
Women Jeans,Jeans,917,2597,4.7,3777,2025-08-02,XL,Red,Cotton,64.69,Few Left,TRUE,10 days,2 days,FALSE,410
Women Jeans,Jeans,905,2776,3.7,367,2025-08-02,XL,Orange,Lycra,67.4,Only 1 Left,FALSE,10 days,2 days,FALSE,416
Women Jeans,Jeans,1585,2077,4.1,7647,2025-08-02,XS,Green,Lycra,23.69,In Stock,FALSE,10 days,1 days,FALSE,111
Women Jeans,Jeans,1265,1581,3.8,4534,2025-08-02,M,Purple,Denim,19.99,Only 1 Left,FALSE,10 days,5 days,FALSE,13
Women Jeans,Jeans,1290,1370,3.4,4366,2025-08-02,S,Maroon,Lycra,5.84,Limited Stock,FALSE,10 days,4 days,FALSE,270
Women Jeans,Jeans,790,961,3.9,2152,2025-08-02,XXL,Pink,Viscose,17.79,Limited Stock,FALSE,10 days,1 days,TRUE,403
Women Jeans,Jeans,1649,4110,4,4241,2025-08-02,M,Blue,Cotton Blend,59.88,Only 1 Left,FALSE,10 days,1 days,FALSE,146
Women Jeans,Jeans,1035,1342,4,7336,2025-08-02,3XL,Orange,Cotton Blend,22.88,In Stock,FALSE,10 days,1 days,FALSE,370
Women Jeans,Jeans,1380,1476,4.3,6151,2025-08-02,S,Pink,Cotton Blend,6.5,Only 1 Left,FALSE,10 days,2 days,FALSE,444
Women Jeans,Jeans,1404,1617,4.1,4266,2025-08-02,L,Olive,Denim,13.17,In Stock,FALSE,10 days,1 days,TRUE,0
Women Jeans,Jeans,1243,2397,3.8,6524,2025-08-02,XXL,Purple,Cotton,48.14,Only 1 Left,FALSE,10 days,3 days,FALSE,322
